"time_seconds","velocity","second_ticker","free_fall_distance","distance_negative"
0,0,,0,0
0.1,0.981,,0.04905,-0.04905
0.2,1.962,,0.1962,-0.1962
0.3,2.943,,0.44145,-0.44145
0.4,3.924,,0.7848,-0.7848
0.5,4.905,,1.22625,-1.22625
0.6,5.886,,1.7658,-1.7658
0.7,6.867,,2.40345,-2.40345
0.8,7.848,,3.1392,-3.1392
0.9,8.829,,3.97305,-3.97305
1,9.81,1,4.905,-4.905
1.1,10.791,,5.93505,-5.93505
1.2,11.772,,7.0632,-7.0632
1.3,12.753,,8.28945,-8.28945
1.4,13.734,,9.6138,-9.6138
1.5,14.715,,11.03625,-11.03625
1.6,15.696,,12.5568,-12.5568
1.7,16.677,,14.17545,-14.17545
1.8,17.658,,15.8922,-15.8922
1.9,18.639,,17.70705,-17.70705
2,19.62,1,19.62,-19.62
2.1,20.601,,21.63105,-21.63105
2.2,21.582,,23.7402,-23.7402
2.3,22.563,,25.94745,-25.94745
2.4,23.544,,28.2528,-28.2528
2.5,24.525,,30.65625,-30.65625
2.6,25.506,,33.1578,-33.1578
2.7,26.487,,35.75745,-35.75745
2.8,27.468,,38.4552,-38.4552
2.9,28.449,,41.25105,-41.25105
3,29.43,1,44.145,-44.145
3.1,30.411,,47.13705,-47.13705
3.2,31.392,,50.2272,-50.2272
3.3,32.373,,53.41545,-53.41545
3.4,33.354,,56.7018,-56.7018
3.5,34.335,,60.08625,-60.08625
3.6,35.316,,63.5688,-63.5688
3.7,36.297,,67.14945,-67.14945
3.8,37.278,,70.8282,-70.8282
3.9,38.259,,74.60505,-74.60505
4,39.24,1,78.48,-78.48
4.1,40.221,,82.45305,-82.45305
4.2,41.202,,86.5242,-86.5242
4.3,42.183,,90.69345,-90.69345
4.4,43.164,,94.9608,-94.9608
4.5,44.145,,99.32625,-99.32625
4.6,45.126,,103.7898,-103.7898
4.7,46.107,,108.35145,-108.35145
4.8,47.088,,113.0112,-113.0112
4.9,48.069,,117.76905,-117.76905
5,49.05,1,122.625,-122.625
5.1,50.031,,127.57905,-127.57905
5.2,51.012,,132.6312,-132.6312
5.3,51.993,,137.78145,-137.78145
5.4,52.974,,143.0298,-143.0298
5.5,53.955,,148.37625,-148.37625
5.6,54.936,,153.8208,-153.8208
5.7,55.917,,159.36345,-159.36345
5.8,56.898,,165.0042,-165.0042
5.9,57.879,,170.74305,-170.74305
6,58.86,1,176.58,-176.58
6.1,59.841,,182.51505,-182.51505
6.2,60.822,,188.5482,-188.5482
6.3,61.803,,194.67945,-194.67945
6.4,62.784,,200.9088,-200.9088
6.5,63.765,,207.23625,-207.23625
6.6,64.746,,213.6618,-213.6618
6.7,65.727,,220.18545,-220.18545
6.8,66.708,,226.8072,-226.8072
6.9,67.689,,233.52705,-233.52705
7,68.67,1,240.345,-240.345
7.1,69.651,,247.26105,-247.26105
7.2,70.632,,254.2752,-254.2752
7.3,71.613,,261.38745,-261.38745
7.4,72.594,,268.5978,-268.5978
7.5,73.575,,275.90625,-275.90625
7.6,74.556,,283.3128,-283.3128
7.7,75.537,,290.81745,-290.81745
7.8,76.518,,298.4202,-298.4202
7.9,77.499,,306.12105,-306.12105
8,78.48,1,313.92,-313.92
8.1,79.461,,321.81705,-321.81705
8.2,80.442,,329.8122,-329.8122
8.3,81.423,,337.90545,-337.90545
8.4,82.404,,346.0968,-346.0968
8.5,83.385,,354.38625,-354.38625
8.6,84.366,,362.7738,-362.7738
8.7,85.347,,371.25945,-371.25945
8.8,86.328,,379.8432,-379.8432
8.9,87.309,,388.52505,-388.52505
9,88.29,1,397.305,-397.305
9.1,89.271,,406.18305,-406.18305
9.2,90.252,,415.1592,-415.1592
9.3,91.233,,424.23345,-424.23345
9.4,92.214,,433.4058,-433.4058
9.5,93.195,,442.67625,-442.67625
9.6,94.176,,452.0448,-452.0448
9.7,95.157,,461.51145,-461.51145
9.8,96.138,,471.0762,-471.0762
9.9,97.119,,480.73905,-480.73905
10,98.1,1,490.5,-490.5
