"x","y","median"
0,0,
0.01,0.288178803,
0.02,0.553420896,
0.03,0.796763529,
0.04,1.019215872,
0.05,1.221759375,
0.06,1.405348128,
0.07,1.570909221,
0.08,1.719343104,
0.09,1.851523947,
0.1,1.9683,
0.11,2.070493953,
0.12,2.158903296,
0.13,2.234300679,
0.14,2.297434272,
0.15,2.349028125,
0.16,2.389782528,
0.17,2.420374371,
0.18,2.441457504,
0.19,2.453663097,
0.2,2.4576,
0.21,2.453855103,
0.22,2.442993696,
0.23,2.425559829,
0.24,2.402076672,
0.25,2.373046875,
0.26,2.338952928,
0.27,2.300257521,
0.28,2.257403904,
0.29,2.210816247,
0.3,2.1609,
0.31,2.108042253,
0.32,2.052612096,
0.33,1.994960979,
0.34,1.935423072,
0.35,1.874315625,
0.36,1.811939328,
0.37,1.748578671,
0.38,1.684502304,
0.39,1.619963397,
0.4,1.5552,
0.41,1.490435403,
0.42,1.425878496,
0.43,1.361724129,
0.44,1.298153472,
0.45,1.235334375,
0.46,1.173421728,
0.47,1.112557821,
0.48,1.052872704,
0.49,0.994484547,
0.5,0.9375,
0.51,0.882014553,
0.52,0.828112896,
0.53,0.775869279,0.775869279
0.54,0.725347872,
0.55,0.676603125,
0.56,0.629680128,
0.57,0.584614971,
0.58,0.541435104,
0.59,0.500159697,
0.6,0.4608,
0.61,0.423359703,
0.62,0.387835296,
0.63,0.354216429,
0.64,0.322486272,
0.65,0.292621875,
0.66,0.264594528,
0.67,0.238370121,
0.68,0.213909504,
0.69,0.191168847,
0.7,0.1701,
0.71,0.150650853,
0.72,0.132765696,
0.73,0.116385579,
0.74,0.101448672,
0.75,0.087890625,
0.76,0.075644928,
0.77,0.064643271,
0.78,0.054815904,
0.79,0.046091997,
0.8,0.0384,
0.81,0.031668003,
0.82,0.025824096,
0.83,0.020796729,
0.84,0.016515072,
0.85,0.012909375,
0.86,0.00991132800000001,
0.87,0.007454421,
0.88,0.005474304,
0.89,0.003909147,
0.9,0.0027,
0.91,0.001791153,
0.92,0.001130496,
0.93,0.000669878999999998,
0.94,0.000365471999999999,
0.95,0.000178124999999999,
0.96,7.37280000000003e-05,
0.97,2.35710000000001e-05,
0.98,4.70400000000002e-06,
0.99,2.97e-07,
1,0,
